Project Name,PrimeOS,,,,,,,,,,,,,,
Document Name,Revenue Plan,,,,,,,,,,,,,,
Project Term,Prime Commerce,,,,,,,,,,,,,,
Date,May-25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Month,Phase,Main Focus,Revenue Model,What We Do,Output,Why It Matters,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Jan 2027
Pricing,Standard,Subscription,"¥3,200 / Seller / month","For sellers using PrimeOS to manage demand, product setup, RFQ/customer flow, and basic commerce operations",Recurring monthly SaaS revenue,Best fit for individual sellers or small teams,,,,,,,,,
Pricing,Pro,Subscription,"¥15,900 / Factory / month","For factories or brands needing stronger operating workflow, reporting, AI support, and cross-border growth",Higher-value monthly SaaS revenue,Best fit for manufacturers/factories selling domestically and overseas,,,,,,,,,
Pricing,Success Fee,Transaction / GMV upside,Example: 2% per order or 2% of incremental GMV,Applied to orders or sales increase generated through PrimeOS-supported workflows,Performance-based revenue,Connects PrimeOS revenue to actual seller/factory growth,,,,,,,,,
,,,,,,,,,,,,,,,
Revenue Example,Japan Domestic,Monthly uplift case,"Old manual sales: ¥1,000,000 / month; PrimeOS-supported sales: ¥1,300,000 / month; uplift: ¥300,000 / month","2% success fee on uplift = ¥6,000 / month, plus subscription",Example monthly revenue from one domestic seller/factory,Shows value beyond subscription,,,,,,,,,
Revenue Example,Japan Domestic,Quarterly uplift case,"Old manual sales: ¥3,000,000 / quarter; PrimeOS-supported sales: ¥3,900,000 / quarter; uplift: ¥900,000 / quarter","2% success fee on uplift = ¥18,000 / quarter, plus subscription",Example quarterly revenue from one domestic seller/factory,Useful for CR quarterly business review,,,,,,,,,
Revenue Example,Japan Domestic,Yearly uplift case,"Old manual sales: ¥12,000,000 / year; PrimeOS-supported sales: ¥15,600,000 / year; uplift: ¥3,600,000 / year","2% success fee on uplift = ¥72,000 / year, plus subscription",Example annual revenue from one domestic seller/factory,Shows long-term recurring and upside potential,,,,,,,,,
Revenue Example,Overseas Amazon US,Monthly uplift case,"Old manual sales: ¥1,500,000 / month; PrimeOS-supported sales: ¥2,100,000 / month; uplift: ¥600,000 / month","2% success fee on uplift = ¥12,000 / month, plus subscription",Example monthly overseas revenue upside,Shows PrimeOS value for cross-border Amazon US growth,,,,,,,,,
Revenue Example,Overseas Amazon US,Quarterly uplift case,"Old manual sales: ¥4,500,000 / quarter; PrimeOS-supported sales: ¥6,300,000 / quarter; uplift: ¥1,800,000 / quarter","2% success fee on uplift = ¥36,000 / quarter, plus subscription",Example quarterly overseas revenue upside,Useful for pilot success reporting,,,,,,,,,
Revenue Example,Overseas Amazon US,Yearly uplift case,"Old manual sales: ¥18,000,000 / year; PrimeOS-supported sales: ¥25,200,000 / year; uplift: ¥7,200,000 / year","2% success fee on uplift = ¥144,000 / year, plus subscription",Example annual overseas revenue upside,Shows why cross-border growth can become a larger revenue pool,,,,,,,,,
,,,,,,,,,,,,,,,
Summary,May-Jun 2026,Commercial design,Define monetization story package logic and CR alignment,PrimeOS revenue model is clear before MVP build,,,,,,,,,,,
Summary,Jul-Sep 2026,MVP revenue proof,Build subscription packaging and show sales uplift examples,PrimeOS can pitch both monthly SaaS and growth-based upside,,,,,,,,,,,
Summary,Oct-Dec 2026,Internal validation,CR tests pricing reporting package limits and success-fee assumptions,Revenue model is adjusted before market launch,,,,,,,,,,,
Summary,Jan 2027,Market launch,Launch paid pilots with subscription and agreed success fee,PrimeOS starts validating real revenue from sellers and factories,,,,,,,,,,,
